date,State,New Cases,Imported Cases,Recovered,Deaths
2020-01-25,Penang,0,0,0.0,0.0
2020-01-26,Penang,0,0,0.0,0.0
2020-01-27,Penang,0,0,0.0,0.0
2020-01-28,Penang,0,0,0.0,0.0
2020-01-29,Penang,0,0,0.0,0.0
2020-01-30,Penang,0,0,0.0,0.0
2020-01-31,Penang,0,0,0.0,0.0
2020-02-01,Penang,0,0,0.0,0.0
2020-02-02,Penang,0,0,0.0,0.0
2020-02-03,Penang,0,0,0.0,0.0
2020-02-04,Penang,0,0,0.0,0.0
2020-02-05,Penang,0,0,0.0,0.0
2020-02-06,Penang,0,0,0.0,0.0
2020-02-07,Penang,0,0,0.0,0.0
2020-02-08,Penang,0,0,0.0,0.0
2020-02-09,Penang,0,0,0.0,0.0
2020-02-10,Penang,0,0,0.0,0.0
2020-02-11,Penang,0,0,0.0,0.0
2020-02-12,Penang,0,0,0.0,0.0
2020-02-13,Penang,0,0,0.0,0.0
2020-02-14,Penang,0,0,0.0,0.0
2020-02-15,Penang,0,0,0.0,0.0
2020-02-16,Penang,0,0,0.0,0.0
2020-02-17,Penang,0,0,0.0,0.0
2020-02-18,Penang,0,0,0.0,0.0
2020-02-19,Penang,0,0,0.0,0.0
2020-02-20,Penang,0,0,0.0,0.0
2020-02-21,Penang,0,0,0.0,0.0
2020-02-22,Penang,0,0,0.0,0.0
2020-02-23,Penang,0,0,0.0,0.0
2020-02-24,Penang,0,0,0.0,0.0
2020-02-25,Penang,0,0,0.0,0.0
2020-02-26,Penang,0,0,0.0,0.0
2020-02-27,Penang,0,0,0.0,0.0
2020-02-28,Penang,0,0,0.0,0.0
2020-02-29,Penang,0,0,0.0,0.0
2020-03-01,Penang,0,0,0.0,0.0
2020-03-02,Penang,0,0,0.0,0.0
2020-03-03,Penang,0,0,0.0,0.0
2020-03-04,Penang,0,0,0.0,0.0
2020-03-05,Penang,0,0,0.0,0.0
2020-03-06,Penang,1,0,0.0,0.0
2020-03-07,Penang,0,0,0.0,0.0
2020-03-08,Penang,0,0,0.0,0.0
2020-03-09,Penang,0,0,0.0,0.0
2020-03-10,Penang,1,0,0.0,0.0
2020-03-11,Penang,0,0,0.0,0.0
2020-03-12,Penang,0,0,0.0,0.0
2020-03-13,Penang,5,0,0.0,0.0
2020-03-14,Penang,0,0,0.0,0.0
2020-03-15,Penang,6,0,0.0,0.0
2020-03-16,Penang,5,0,0.0,0.0
2020-03-17,Penang,10,0,0.0,0.0
2020-03-18,Penang,5,0,0.0,0.0
2020-03-19,Penang,0,0,0.0,0.0
2020-03-20,Penang,5,1,0.0,0.0
2020-03-21,Penang,13,0,0.0,0.0
2020-03-22,Penang,8,0,0.0,1.0
2020-03-23,Penang,8,1,0.0,0.0
2020-03-24,Penang,2,0,1.0,0.0
2020-03-25,Penang,1,8,0.0,0.0
2020-03-26,Penang,4,5,0.0,0.0
2020-03-27,Penang,6,0,0.0,0.0
2020-03-28,Penang,6,1,1.0,0.0
2020-03-29,Penang,1,0,0.0,0.0
2020-03-30,Penang,1,0,1.0,0.0
2020-03-31,Penang,6,0,0.0,0.0
2020-04-01,Penang,2,1,13.0,0.0
2020-04-02,Penang,2,1,20.0,0.0
2020-04-03,Penang,0,0,3.0,0.0
2020-04-04,Penang,1,0,5.0,0.0
2020-04-05,Penang,2,1,24.0,0.0
2020-04-06,Penang,0,1,20.0,0.0
2020-04-07,Penang,1,0,0.0,0.0
2020-04-08,Penang,6,0,43.0,0.0
2020-04-09,Penang,0,0,7.0,0.0
2020-04-10,Penang,1,0,15.0,0.0
2020-04-11,Penang,5,0,13.0,0.0
2020-04-12,Penang,2,0,0.0,0.0
2020-04-13,Penang,0,1,6.0,0.0
2020-04-14,Penang,3,0,9.0,0.0
2020-04-15,Penang,0,0,14.0,0.0
2020-04-16,Penang,0,0,10.0,0.0
2020-04-17,Penang,0,1,6.0,0.0
2020-04-18,Penang,0,0,6.0,0.0
2020-04-19,Penang,0,0,0.0,0.0
2020-04-20,Penang,0,0,7.0,0.0
2020-04-21,Penang,0,0,1.0,0.0
2020-04-22,Penang,0,0,0.0,0.0
2020-04-23,Penang,0,0,1.0,0.0
2020-04-24,Penang,0,0,2.0,0.0
2020-04-25,Penang,0,0,4.0,0.0
2020-04-26,Penang,2,0,0.0,0.0
2020-04-27,Penang,0,1,3.0,0.0
2020-04-28,Penang,0,0,5.0,0.0
2020-04-29,Penang,0,0,0.0,0.0
2020-04-30,Penang,0,0,0.0,0.0
2020-05-01,Penang,0,0,2.0,0.0
2020-05-02,Penang,0,0,0.0,0.0
2020-05-03,Penang,0,0,0.0,0.0
2020-05-04,Penang,0,0,0.0,0.0
2020-05-05,Penang,0,0,0.0,0.0
2020-05-06,Penang,0,0,0.0,0.0
2020-05-07,Penang,0,0,0.0,0.0
2020-05-08,Penang,0,0,0.0,0.0
2020-05-09,Penang,0,0,0.0,0.0
2020-05-10,Penang,0,0,0.0,0.0
2020-05-11,Penang,0,0,0.0,0.0
2020-05-12,Penang,0,0,0.0,0.0
2020-05-13,Penang,0,0,0.0,0.0
2020-05-14,Penang,0,0,0.0,0.0
2020-05-15,Penang,0,0,0.0,0.0
2020-05-16,Penang,0,0,0.0,0.0
2020-05-17,Penang,0,0,0.0,0.0
2020-05-18,Penang,0,0,4.0,0.0
2020-05-19,Penang,0,0,0.0,0.0
2020-05-20,Penang,0,0,0.0,0.0
2020-05-21,Penang,0,0,0.0,0.0
2020-05-22,Penang,0,0,0.0,0.0
2020-05-23,Penang,0,0,0.0,0.0
2020-05-24,Penang,0,0,0.0,0.0
2020-05-25,Penang,0,0,0.0,0.0
2020-05-26,Penang,0,0,1.0,0.0
2020-05-27,Penang,0,0,0.0,0.0
2020-05-28,Penang,0,0,0.0,0.0
2020-05-29,Penang,0,0,0.0,0.0
2020-05-30,Penang,0,0,2.0,0.0
2020-05-31,Penang,0,0,0.0,0.0
2020-06-01,Penang,0,0,0.0,0.0
2020-06-02,Penang,0,0,0.0,0.0
2020-06-03,Penang,0,0,0.0,0.0
2020-06-04,Penang,0,0,0.0,0.0
2020-06-05,Penang,0,0,0.0,0.0
2020-06-06,Penang,0,0,0.0,0.0
2020-06-07,Penang,0,0,0.0,0.0
2020-06-08,Penang,0,0,0.0,0.0
